2018-Aug-12 15:14:07.034826 INFO    [Core] Block 12000 (237bcaf18e5d6dadf9a7133cc7b91c1441c8cfefcd8380c39b12bbff14ed6d05) added to main chain
2018-Aug-12 15:14:07.867002 INFO    [Core] Block 12100 (ced183cbea52da5fbaac712e8b048c852c16902957ae1daae29b44cc0e995503) added to main chain
2018-Aug-12 15:14:08.665808 INFO    [Core] Block 12200 (12ba363a8a36cadd020cc348c7def0448ac1fbcdbaca2fbbadafebe93a7870c0) added to main chain
2018-Aug-12 15:14:09.357916 INFO    [Core] Block 12300 (9a8d29e6535bab73e6fcdc06985e238515877076d5da4b0c450cd078b17aa602) added to main chain
2018-Aug-12 15:14:09.981546 INFO    [Core] Block 12400 (a4aca5d734518cd476cd0ddf6cfe7f9179acb30581832cf6c185545f7d90839e) added to main chain
2018-Aug-12 15:14:10.794290 INFO    [Core] Block 12500 (8149030a9d1f8c7f2fed4c049e026b3eea3d1f29e7e3a6a283bab7b6d5d20c2d) added to main chain
2018-Aug-12 15:14:11.530570 INFO    [Core] Block 12600 (1b96d7650873a78b0b89786c9c89464021ae3b06fb3fab43dd76eccf24ccaf4a) added to main chain
2018-Aug-12 15:14:12.187567 INFO    [Core] Block 12700 (1e96167da3ea3d6f2d08f4378ac441c2bbd6335f244a61c9d79de3e5f48270fd) added to main chain
2018-Aug-12 15:14:12.815569 INFO    [Core] Block 12800 (c54f3e3ac6b9274a22265f4decffb7ed1b48af4a903191a0e442f4ab31600e0a) added to main chain
2018-Aug-12 15:14:13.320570 INFO    [Core] Block 12900 (c1cbb58ea4f107a7a15836ae3bdd5ba42dee944b29247c5a141087d074ab6d0c) added to main chain
2018-Aug-12 15:14:15.658567 INFO    [Core] Block 13000 (4bc1d00f4b74b87416c5b708cb59dfa005e767dda0ac846b4420869dea00dbf6) added to main chain
2018-Aug-12 15:14:16.629269 INFO    [Core] Block 13100 (582ed3129e9e9bbb8c62726e1a5337279369bca0ba1a0dedaa3b16ea42a0a382) added to main chain
2018-Aug-12 15:14:17.329536 INFO    [Core] Block 13200 (f6287ce79b3d26ce630da989ba207694e54dbc178a46744554fd2fa1f101ffe7) added to main chain
2018-Aug-12 15:14:18.279591 INFO    [Core] Block 13300 (a3733f39997a30dbf1cf116d4bba70a0ff2c421c32c5771624bff6f0eec837f6) added to main chain
